,name,lat,lng,address,label
0,品粹1788(陆家嘴金控广场店),31.227978,121.541782,世纪大道1788号陆家嘴金控广场V2号别墅（竹林路上近浦电路）,徽菜
1,苏味铃蘭,31.228793,121.536345,东方路969号中油阳光大酒店1楼,苏浙菜
2,小团圆湘菜(东方路店),31.227793,121.535511,"东方路985号（汉庭与上海中油阳光大酒店旁,和记小菜旁）",湘菜
3,苏小柳手工点心(世纪汇分院),31.23261,121.534406,世纪大道1192号世纪汇广场2座1层L1-023b,上海菜
4,姚稷大铁锅(崂山路店),31.226484,121.532421,崂山路706号,东北菜
5,纯味斑鱼府(浦东店),31.231915,121.530312,崂山路588号-2（96广场后面、近宝安大厦）,鱼火锅店
6,新粤珍轩酒楼(福山路店),31.228609,121.53788,福山路500号城建国际中心2楼,广州菜
7,牛牛炭火烤肉居酒屋(东方店),31.228428,121.534293,东方路920号,融合烤肉
8,点都德(世纪汇店),31.234417,121.53292,世纪大道世纪汇广场2楼,粤菜
9,川串锅·香锅·烤鱼·烤鸭,31.226394,121.534891,浦电路335号,酸菜鱼/水煮鱼
10,福荣祥烧腊(浦电路店),31.226729,121.536258,上海市浦东新区浦电路357号世纪联华超市B1楼(近4号线浦电站),烧腊
11,顺意,31.232534,121.535613,潍坊路196号(停车场向前50m竹南小区自费停车)（近地铁2、4、6、9号线世纪大道7号口）,顺德菜
12,大米先生(新天国际店),31.229925,121.537188,上海市浦东新区福山路450号新天国际大厦1B,中式快餐
13,上海小南国(世纪汇店),31.232903,121.534517,世纪大道1192号世纪汇广场4层L4-018,上海菜
14,羲和雅苑烤鸭坊(世纪汇广场店),31.233135,121.534628,世纪大道1192号世纪汇广场L4层017号,烤鸭店
15,酷味乐智选餐厅(福山路店),31.228719,121.53892,上海市浦东新区潍坊新村街道福山路517号,快餐厅
16,二爷家宴(世纪汇店),31.232233,121.53473,上海市浦东新区潍坊路178号2层,湘菜
17,汉宫白领餐厅(陆家嘴美食广场店),31.229817,121.541014,上海市浦东新区世纪大道1600号陆家嘴商务广场B1,小吃快餐
18,洁洁餐厅,31.23017,121.539032,上海市浦东新区竹林路101号陆家嘴基金大厦2楼,中餐馆
19,扬州饭店(崂山路店),31.226456,121.531877,上海市浦东新区崂山路703号,淮扬菜
20,名豪酒家,31.229602,121.540706,上海市浦东新区世纪大道1600号裙楼,中餐馆
21,财神岛·大连海鲜餐厅,31.230562,121.534439,东方路877号,私房菜
22,香然会(钦殿店),31.239165,121.537534,钦殿街57号(近源深路太清宫道观),苏浙菜
23,羲和雅苑品鉴官府菜世纪汇广场店宴会厅,31.233321,121.534672,上海市浦东新区潍坊新村街道世纪大道1192号世纪汇广场L4层017号商铺,中餐馆
24,左庭右院鲜牛肉火锅(百联世纪店),31.236056,121.533748,世纪大道1217号百联世纪购物中心5楼,潮汕牛肉火锅
25,咬金·海鲜大排档小酒馆(九六广场店),31.232886,121.531336,东方路796号九六广场一层143-145单元（近4号门，wagas对面）,创意菜
26,江南农庄(张杨路店),31.234705,121.529303,潍坊新村街道张杨路838号华都大厦2楼(近崂山路),农家菜
27,彩羽小料理屋,31.232338,121.535059,潍坊新村街道潍坊路182号2楼(世纪汇对面),日本料理
28,酒吞(世纪汇店),31.232606,121.533687,世纪大道世纪汇广场4层021号,日本料理
29,哈灵面馆(崂山路店),31.226881,121.532138,潍坊新村街道崂山路694号(狼来了碳烤羊腿旁),面馆
30,日木料理店,31.228009,121.536774,上海市浦东新区浦电路陆家嘴投资大厦,日本料理
31,泰村酒楼(上海)有限公司,31.234327,121.541933,上海市潍坊新村街道潍坊路328号101室F区,中餐馆
32,张亮麻辣烫(浦电路店),31.226452,121.536262,上海市浦东新区浦电路357号b1,麻辣烫
33,吴茂兴本帮面(向城路店),31.229995,121.536286,上海市浦东新区向城路17号裙房底层J-08号,面馆
34,溪,31.232411,121.542126,松林路357号尊茂酒店大堂,寿司
35,四面泰(世纪汇店),31.233296,121.534597,世纪大道1192号世纪汇广场3楼L3-018号（近地铁世纪大道站8号出口）,泰式火锅
36,兵叔中式快餐,31.228032,121.536215,上海市浦东新区东方路985号邵记美食城1楼127号,快餐厅
37,大米先生(东方希望店),31.229547,121.544094,上海市浦东新区潍坊新村街道世纪大道1777号东方希望大厦6层a座东方希望大厦-6层a座F1,中式快餐
